,AMF_diversity,pred_climate_current,AbsResidual,latitude,longitude
1220,8.5,5.726555347442627,2.773444652557373,-35.50416666666666,144.87916666666666
1221,25.999000549316406,7.053975582122803,18.945024967193604,-35.49583333333334,144.82916666666665
1222,3,5.46907377243042,2.46907377243042,-35.4875,144.82083333333333
1223,4,5.652315139770508,1.6523151397705078,-35.412499999999994,144.8125
1224,0,6.255615711212158,6.255615711212158,-35.412499999999994,144.82916666666665
1225,3,5.013059139251709,2.013059139251709,-35.3875,144.53750000000002
1226,13.5,6.357422351837158,7.142577648162842,-35.35416666666667,144.52916666666664
1227,1,5.326596260070801,4.326596260070801,-35.35416666666667,144.57916666666665
1228,3,5.265251636505127,2.265251636505127,-35.35416666666667,144.6125
1229,0,5.223093032836914,5.223093032836914,-35.35416666666667,144.64583333333331
1230,0,4.865457534790039,4.865457534790039,-35.34583333333333,144.52083333333331
1231,0,5.28980827331543,5.28980827331543,-35.329166666666666,144.57083333333333
1232,4.25,5.062860488891602,0.8128604888916016,-34.795833333333334,145.8875
1233,5,5.084163188934326,0.08416318893432617,-34.7625,145.99583333333334
1234,9.5,6.0858378410339355,3.4141621589660645,-34.74583333333334,145.90416666666664
1235,9,5.694342613220215,3.305657386779785,-34.71249999999999,146.21249999999998
1236,0,5.076679706573486,5.076679706573486,-34.65416666666667,146.3458333333333
1237,0,6.658109664916992,6.658109664916992,-34.5625,145.78750000000002
1238,1,7.453874111175537,6.453874111175537,-34.55416666666666,145.82916666666665
1239,35.08300018310547,8.358965873718262,26.724034309387207,-34.55416666666666,145.96249999999998
1240,16,7.793333530426025,8.206666469573975,-34.55416666666666,145.97916666666669
1241,1,5.120494365692139,4.120494365692139,-34.55416666666666,146.3875
1242,0,5.985754013061523,5.985754013061523,-34.537499999999994,145.77916666666664
1243,4,5.282055377960205,1.282055377960205,-34.52916666666667,146.1875
1244,32.66600036621094,7.936520099639893,24.729480266571045,-34.52083333333333,145.70416666666665
1245,3,4.962132930755615,1.9621329307556152,-34.287499999999994,146.57916666666665
1246,4,6.519698619842529,2.5196986198425293,-34.25416666666666,146.07083333333333
1247,0,4.597783088684082,4.597783088684082,-33.47083333333333,145.5625
1248,0,4.735781192779541,4.735781192779541,-33.454166666666666,145.57916666666665
1249,1,4.876918792724609,3.8769187927246094,-33.454166666666666,145.5958333333333
1250,8.5,4.701360702514648,3.7986392974853516,-33.35416666666667,145.7625
1251,0,4.29843282699585,4.29843282699585,-33.34583333333333,145.74583333333334
1252,2,4.156521320343018,2.1565213203430176,-32.6375,145.58749999999998
1253,20.999000549316406,5.603100776672363,15.395899772644043,-32.6375,145.6125
1254,5,4.534456729888916,0.465543270111084,-32.62916666666666,145.67916666666667
1255,26.999000549316406,4.906065464019775,22.09293508529663,-31.879166666666663,145.2625
1256,15.166000366210938,4.7673258781433105,10.398674488067627,-31.862499999999997,145.25416666666666
1257,15.55566660563151,5.604895114898682,9.950771490732828,-31.85416666666667,147.70416666666665
1258,7.25,4.258663654327393,2.9913363456726074,-31.84583333333333,145.2625
1259,16.178666432698567,4.704743385314941,11.473923047383625,-31.55416666666666,146.3125
1260,24.16699981689453,8.002370834350586,16.164628982543945,31.479166666666664,-96.87916666666666
1261,20.25,4.136110782623291,16.11388921737671,40.15416666666667,-95.5375
1262,0,2.8190300464630127,2.8190300464630127,40.1625,-96.52083333333333
1263,2,2.7967300415039062,0.7967300415039062,40.87083333333334,-96.8125
1264,5,6.485801696777344,1.4858016967773438,41.204166666666666,-101.62916666666666
1265,2,2.970167398452759,0.9701673984527588,41.6125,-97.1125
1266,16.5,4.33044958114624,12.16955041885376,42.87916666666667,-95.57916666666667
1267,0,2.0474164485931396,2.0474164485931396,43.5125,-93.6625
1268,3,2.5837454795837402,0.41625452041625977,43.545833333333334,-96.97083333333333
1269,10.25,3.640284538269043,6.609715461730957,44.0375,-96.77916666666667
1270,2,2.8698904514312744,0.8698904514312744,44.2625,-96.7125
1271,6.25,3.869584083557129,2.380415916442871,44.795833333333334,-96.57083333333334
1272,8,4.686850547790527,3.3131494522094727,47.045833333333334,-96.42916666666667
1273,70.12933349609375,32.35884094238281,37.77049255371094,48.22083333333333,116.01249999999999
1274,33.5,25.005929946899414,8.494070053100586,48.6125,116.78750000000002
1275,39.875,26.09816551208496,13.776834487915039,49.02916666666667,116.99583333333334
