,lower,mean,upper,latitude
0,0.12729065120220184,0.19660539517277165,0.34027978777885437,-52.2
0,0.12356848642230034,0.18909405171871185,0.3044016659259796,-52.1
0,0.12317951023578644,0.18826759275462893,0.3228014409542084,-52.0
0,0.11875429376959801,0.18046878187945395,0.2657966911792755,-51.9
0,0.11560741439461708,0.18589636261733072,0.2718403786420822,-51.8
0,0.11245723068714142,0.17992684488393823,0.26863405108451843,-51.7
0,0.11379875391721725,0.18739577089078152,0.268566370010376,-51.6
0,0.11003470048308372,0.18352387553336574,0.2698957622051239,-51.5
0,0.10212375968694687,0.1825024197154706,0.2732859253883362,-51.4
0,0.10135287046432495,0.16764380476331409,0.2733277678489685,-51.3
0,0.09991990774869919,0.1542316839719812,0.23892289400100708,-51.2
0,0.1003625899553299,0.14997905589964078,0.2564855068922043,-51.1
0,0.09738389402627945,0.14838442173021943,0.2571316957473755,-51.0
0,0.09734682738780975,0.15424014411974643,0.25273844599723816,-50.9
0,0.0944280344992876,0.15691836278310559,0.2574484348297119,-50.8
0,0.09391262382268906,0.1527324056495791,0.2726256251335144,-50.7
0,0.09340787306427956,0.1529463552352455,0.27117669582366943,-50.6
0,0.09161595006783803,0.15261674027990652,0.2746615707874298,-50.5
0,0.0900253877043724,0.1486430720258982,0.25655485689640045,-50.4
0,0.08642329275608063,0.14174950159561467,0.2702030539512634,-50.3
0,0.07863069325685501,0.13700596488467076,0.267447163661321,-50.2
0,0.07954308018088341,0.13221645594379047,0.2654919922351837,-50.1
0,0.0805366151034832,0.12775640840394586,0.267954558134079,-50.0
0,0.07458871603012085,0.13149599660010564,0.2679722011089325,-49.9
0,0.07571352645754814,0.12581591638313097,0.24174842238426208,-49.8
0,0.06992853805422783,0.12420001831547968,0.23684678971767426,-49.7
0,0.0775156021118164,0.12081444591638588,0.23266975581645966,-49.6
0,0.07138456404209137,0.12139330795881423,0.24149081110954285,-49.5
0,0.07764079794287682,0.12622542913710133,0.2366434633731842,-49.4
0,0.07421226054430008,0.12395882983418072,0.24606676399707794,-49.3
0,0.07220342010259628,0.1262494995371326,0.24546484649181366,-49.2
0,0.07237076386809349,0.13427964688002408,0.24879589676856995,-49.1
0,0.07462273289759953,0.13394136569566198,0.25452303886413574,-49.0
0,0.06767584010958672,0.1321032346950637,0.25947344303131104,-48.9
0,0.06498046964406967,0.12962274505726754,0.2533774673938751,-48.8
0,0.06703680008649826,0.13152168614348186,0.26268836855888367,-48.7
0,0.06514761410653591,0.13200961737608424,0.25726358592510223,-48.6
0,0.06526584550738335,0.13707389938188533,0.28000494837760925,-48.5
0,0.06358624994754791,0.13614238682416602,0.2621992230415344,-48.4
0,0.06311625242233276,0.1338266186246818,0.2673090994358063,-48.3
0,0.06384665668010711,0.12909597283707255,0.2519548833370209,-48.2
0,0.06217297911643982,0.1308133346741801,0.2765103578567505,-48.1
0,0.05054164305329323,0.12651927565672882,0.27969497442245483,-48.0
0,0.05156269297003746,0.12670617231300899,0.26076093316078186,-47.9
0,0.05056103318929672,0.12522691800074431,0.27002957463264465,-47.8
0,0.04883865639567375,0.11561938283859559,0.2725106477737427,-47.7
0,0.04947468265891075,0.11506192354520536,0.2537959814071655,-47.6
0,0.04813137836754322,0.1174559792592412,0.2730206847190857,-47.5
0,0.047717844446500145,0.11296441199460833,0.2850097119808197,-47.4
0,0.050015863652030625,0.11047976460398698,0.26097574830055237,-47.3
0,0.04659812276562055,0.1185388825482355,0.2651166319847107,-47.2
0,0.04978341422975063,0.1235619770860908,0.25250619649887085,-47.1
0,0.04841544404625893,0.1230056297320586,0.2582032084465027,-47.0
0,0.04795199818909168,0.1249187395617526,0.2834875285625458,-46.9
0,0.04614357054233551,0.1320285118330064,0.2737234830856323,-46.8
0,0.04760241508483887,0.13242196188796135,0.26580455899238586,-46.7
0,0.047013748437166214,0.14033414944347028,0.2641487121582031,-46.6
0,0.04450022242963314,0.1481776359224958,0.2718183398246765,-46.5
0,0.045505329966545105,0.1425183625039408,0.26617902517318726,-46.4
0,0.047939617186784744,0.14618409855329262,0.26620328426361084,-46.3
0,0.055084191262722015,0.15768018616993623,0.2731381356716156,-46.2
0,0.0585443489253521,0.16397483096293666,0.27005481719970703,-46.1
0,0.05693804658949375,0.16689915269830802,0.272920697927475,-46.0
0,0.0499056912958622,0.16802253644965903,0.29321685433387756,-45.9
0,0.04710618779063225,0.16973121061812352,0.29027825593948364,-45.8
0,0.05089374631643295,0.17109325393400293,0.2781815528869629,-45.7
0,0.05233706906437874,0.16734248320877987,0.2831823229789734,-45.6
0,0.04798905625939369,0.16154846988284766,0.2858300805091858,-45.5
0,0.04717518016695976,0.15952758553127447,0.2883240580558777,-45.4
0,0.047909378384550415,0.1601844670224017,0.29931823909282684,-45.3
0,0.04751114494034222,0.1538590256544486,0.3002307713031769,-45.2
0,0.04610957205295563,0.1494742397292955,0.2839464247226715,-45.1
0,0.0443276472389698,0.1492831159802462,0.29044923186302185,-45.0
0,0.04609025716781616,0.14767767064273357,0.29518458247184753,-44.9
0,0.04422866393412862,0.15213550822074084,0.2959740161895752,-44.8
0,0.04387027184878077,0.1503604995331874,0.28737661242485046,-44.7
0,0.04405250251293182,0.14601753696799277,0.30000147223472595,-44.6
0,0.04401441692159726,0.14212244552736347,0.2968999743461609,-44.5
0,0.04353192986713515,0.1417637685579913,0.29405583441257477,-44.4
0,0.04395771771669388,0.1399012411264606,0.29988183826208115,-44.3
0,0.042834904976189137,0.1387579028719458,0.3031458854675293,-44.2
0,0.041911317301648,0.1371295058892833,0.29132556915283203,-44.1
0,0.041945106349885464,0.12964063759525896,0.27973949909210205,-44.0
0,0.04069357831031084,0.13201812175038743,0.29496273398399353,-43.9
0,0.040298204869031906,0.12855774907936865,0.3026133179664612,-43.8
0,0.04185753182641098,0.13149373748132753,0.30387312173843384,-43.7
0,0.04216912745808562,0.1407581488178535,0.3091961741447449,-43.5
0,0.04216912745808562,0.1407581488178535,0.3091961741447449,-43.5
0,0.041939537112529464,0.14165254604000194,0.30854886770248413,-43.4
0,0.04064492415636778,0.14362666156831955,0.2918432553609212,-43.3
0,0.042234535400684066,0.1436962763833649,0.28597068786621094,-43.2
0,0.0424047701060772,0.1466865632363728,0.2836128771305084,-43.0
0,0.0424047701060772,0.1466865632363728,0.2836128771305084,-43.0
0,0.04400994349271059,0.1465574606814805,0.2877020835876465,-42.9
0,0.04236478902972662,0.15249914681212715,0.29360444843769073,-42.8
0,0.042487933699573786,0.14999792228828476,0.29536865651607513,-42.7
0,0.043855201452970505,0.14689428709528368,0.2899680882692337,-42.5
