sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,plant_diversity,climate_stability_index,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,amf_sampling_density,Resolve_Biome,rwr,CV_Fold_Random,Pixel_Long,Pixel_Lat,CV_Fold_Spatial
S7021,1260.0,126.599876403809,3311.09692382813,180.566482543945,24.2983322143555,0,266.0,-809.0,5397.0,0.178679093718529,0.983178436756134,1849.0,5.4882984161377,-1.25,0.0,0.0,12.07164478302,9696.0947265625,198.757888793945,42.4642868041992,173.340545654297,52.8579063415527,2003.0,0.209806859493256,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,1.0,2,0.0041804891176261,9,-155.320831298828,19.8208332061768,1
S3935,788.0,75.5499954223633,923.760314941406,208.549713134766,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,1291.0,0.495991736650467,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.6,0.67644602060318,4,0.0630876358680999,6,9.46249961853027,48.4625015258789,2
S5016,1447.99987792969,100.667510986328,543.984619140625,273.684234619141,41.3966827392578,0,492.0,1602.0,5658.0,0.680227518081665,-0.70455527305603,1652.0,15.0495548248291,5.9375,0.0,0.0,70.8135147094727,5953.7998046875,198.817596435547,48.0841827392578,42.2609901428223,63.0618133544922,2083.0,0.287015438079834,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.5,0.0812075063586235,12,0.0435104293979344,5,-2.83750009536743,37.404167175293,5
S2240,669.0,64.5,575.2333984375,187.51676940918,28.1033229827881,0,813.000000020946,3141.00000008109,922.000000023773,0.3162265122235,-0.948683738725638,0.0,0.0,0.0,0.0,1.03011238574982,17.7754669189453,4804.60009765625,134.140228271484,58.881721496582,136.617736816406,54.5458793640137,741.999998880387,0.643178284168243,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.265,0.177691742777824,4,0.0366431096231656,7,19.5375003814697,60.220832824707,6
S6310,961.0,27.5331535339356,662.265319824219,208.500274658203,62.8983268737793,0,922.0,3366.0,2554.0,0.93858003616333,0.343809127807617,951.0,0.88459849357605,-1.0,0.0,0.0,139.665237426758,5804.7705078125,181.60774230957,39.747142791748,186.327377319336,54.4500617980957,729.0,0.749569833278656,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,0.915380001068115,5,0.0134230203321408,7,-117.970832824707,54.5791664123535,9
S2798,1217.0,161.5,907.046142578125,311.5,62.9067077636719,97,327.0,-1058.0,4026.0,-0.800766706466675,0.577160537242889,132.5,0.229350119829178,-0.0625,0.830437481403351,13.8587141036987,0.307200014591217,4606.8076171875,200.0,25.2952709197998,12.8037691116333,70.8207702636719,1678.0,0.363760709762573,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10000.0,0.5,0.253293544054031,4,0.187969283984866,8,111.912498474121,32.5458335876465,4
S5522,1266.0,136.550033569336,3570.7373046875,186.549758911133,23.9983329772949,0,266.0,3682.0,5493.0,0.364866554737091,0.93105810880661,1662.5,5.11083507537842,-2.75,0.0,0.0,58.2741317749024,11470.3583984375,198.435607910156,56.8148612976074,219.562637329102,48.1438026428223,2003.0,0.209806859493256,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,1.0,1,0.0174652452011412,10,-155.304168701172,19.8291664123535,1
S1476,1417.0,146.5,549.978271484375,318.516723632813,104.301666259766,100,300.0,417.0,4527.0,3.13916473260179e-07,0.196116760373116,52.0,0.134805351495743,-0.6875,0.0,16.2317867279053,2.08266663551331,3672.41821289063,200.0,32.9267044067383,8.56416320800781,80.9485168457031,1038.0,0.430065423250198,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10000.0,0.5,0.229838863015175,4,0.284985048261333,9,114.979164123535,36.2874984741211,9
S3422,1685.99987792969,259.500610351563,3055.86181640625,284.500335693359,15.1865758895874,10,441.0,1309.0,4948.0,0.930663406848908,-0.321908921003342,16.5,3.49208354949951,-4.0625,0.0,0.0,203.508270263672,15396.236328125,181.765121459961,47.0256042480469,100.349891662598,48.3990898132324,3106.0,0.23076918721199,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,2.0,0.0059417909942567,1,0.0764716444771231,1,147.120834350586,-7.30416679382324,4
S2260,1462.0,222.48356628418,2005.14147949219,308.516510009766,64.1966552734375,91,270.0,161.0,4772.0,-0.564998984336853,-0.73213118314743,147.5,3.10475063323975,-0.6875,0.0,1.22159171104431,30.191822052002,5553.3662109375,200.0,40.3573112487793,21.7605724334717,57.7438774108887,2184.0,0.258058786392212,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100.0,0.25,0.198490977287292,1,0.220124959947694,2,110.304168701172,22.6375007629395,6
