sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,source,CV_Fold
FMS00710v3,1261.0,160.532653808594,2088.16943359375,295.549377441406,47.8050231933594,89.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,630.0,2131.0,2862.0,0.723291635513306,0.652050375938416,34.0,5.49082517623901,-5.1875,0.908804535865784,6.57511854171753,7.91964435577393,0.0,6832.5166015625,1.0,200.0,32.3357048034668,39.7709541320801,68.8684310913086,0,1,0,10,12,0.6931471805599453,42.4291648864746,19.1791667938232,GlobalFungi,6
FMS16414v2,619.0,29.3830089569092,1568.06396484375,155.349517822266,20.8033485412598,0.0,5.0,0.0,0.0,59.0,0.0,37.0,0.0,867.0,2281.0,2513.0,-0.303346753120422,-0.851945281028748,1221.5,7.69622039794922,-4.0,0.0,0.0,127.250312805176,0.0,5602.580078125,1.0,132.172424316406,56.0495872497559,174.926773071289,44.9322509765625,1,0,2,1,4,2.39525540210501,50.7625007629395,15.5208330154419,GlobalFungi,10
FMS10565v2,1491.0,222.534851074219,3116.404296875,257.534576416016,23.0966835021973,42.0,0.0,0.0,51.0,0.0,3.0,4.0,0.0,522.0,3188.0,1856.0,-0.110869787633419,0.482164829969406,725.0,7.78076457977295,-6.0625,0.0,0.0,157.482849121094,0.0,13768.0498046875,1.0,200.0,29.3916549682617,101.574096679688,48.4094123840332,0,2,2,14,1,3.1570004211501135,18.2958335876465,-65.7874984741211,GlobalFungi,6
N1488,725.0,88.5,871.864990234375,173.516479492188,26.398323059082,0.0,0.0,31.0,0.0,0.0,0.0,69.0,0.0,816.0,1673.0,2876.0,-0.466427832841873,0.44721394777298,16.5,0.659101724624634,-0.1875,0.0,0.0,129.884979248047,0.0,8446.1416015625,38.0,189.133163452148,77.7529830932617,112.883506774902,47.7922859191895,0,1,2,11,4,1.3862943611198906,57.0541648864746,8.92083358764648,GlobalFungi,1
S006708,1164.0,154.482620239258,1452.92578125,308.482604980469,38.6949462890625,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2608.0,2817.0,1781.0,0.373956918716431,-0.837834417819977,74.5,1.35402178764343,-0.375,0.0,489.457366943359,30.3928890228272,0.0,8675.2001953125,16.0,200.0,30.83078956604,26.2919807434082,59.2201042175293,0,0,1,7,4,2.0784410542337435,35.029167175293,135.787506103516,GlobalFungi,2
FMS26274v2,776.0,71.5,604.109985351563,191.516738891602,29.8983249664307,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,268.0,2909.0,0.447212964296341,-0.85749363899231,0.5,0.199575647711754,-0.125,0.0,0.0248424503952265,3.68604445457459,0.0,5787.2001953125,50.0,166.283203125,54.8705596923828,136.324645996094,57.3104591369629,1,0,2,5,4,1.8325814637483102,58.1041679382324,22.1791667938232,GlobalFungi,3
FMS19495v2,1244.0,30.5,291.685119628906,263.483459472656,108.5,0.0,48.0,0.0,0.0,0.0,52.0,0.0,0.0,783.0,1578.0,3756.0,0.34487396478653,-0.790632605552673,1079.0,0.26762992143631,0.1875,0.0,4.58841705322266,0.0,0.0,1557.39721679688,2.0,200.0,47.7080230712891,21.1121311187744,82.5513000488281,0,1,2,7,8,1.9459101490553132,44.1875,116.454170227051,GlobalFungi,9
N1593,733.0,84.5,943.3544921875,202.483261108398,23.5983238220215,52.0,13.0,13.0,0.0,0.0,0.0,22.0,0.0,536.0,1560.0,3171.0,0.214289203286171,-0.15763084590435,21.0,0.762530446052551,-1.25,0.0,0.630414605140686,51.4062232971191,0.0,6528.7724609375,13.0,200.0,75.1654739379883,63.5802154541016,53.3851852416992,0,1,2,11,4,3.953625505821306,55.2958335876465,9.07083320617676,GlobalFungi,4
S001615,626.0,34.5837554931641,1032.65808105469,184.584030151367,26.1000003814697,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,373.0,1226.0,4875.0,-0.351502418518066,0.735760152339935,502.5,3.02506589889526,3.625,0.0,0.0,108.430755615234,0.0,5649.26708984375,1.0,188.304626464844,56.6221122741699,119.387985229492,43.724479675293,0,0,2,12,6,3.839409324543161,60.3125,13.9791669845581,GlobalFungi,8
FMS00672v3,803.0,102.5,837.207214355469,222.466796875,12.6999998092651,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.0,971.0,1282.0,0.31622725725174,-0.28967359662056,10.0,0.33105194568634,0.5625,0.0,99.211898803711,11.4826669692993,0.0,7492.0,50.0,200.0,48.3179397583008,30.0375308990479,59.5066680908203,0,1,2,10,4,1.7047480922384253,51.7541656494141,5.84583330154419,GlobalFungi,5
FMS10984v2,735.0,60.5,698.843627929688,212.5,33.7016754150391,0.0,0.0,11.0,0.0,0.0,0.0,89.0,0.0,1295.0,5426.0,1749.0,0.575825333595276,0.713452756404877,51.0,1.26439571380615,-0.125,0.0,0.0129370987415314,119.986312866211,0.0,5114.90673828125,1.0,199.90055847168,60.817554473877,124.142082214355,51.7917213439942,0,0,2,9,4,2.3020849565025463,58.2458343505859,27.3125,GlobalFungi,6
