sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Pixel_DistanceToNOCentroid,Pixel_DistanceToNWCentroid,Pixel_DistanceToSOCentroid,Pixel_DistanceToSWCentroid,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,CV_Fold_Random,CV_Fold_Spatial
S4698,953.0,31.4668070727706,529.833129882813,217.467086493538,49.1983222961426,0,598.0,3200.0,4121.0,-0.909162640571594,0.416431128978729,803.0,2.48828196525574,-0.5625,0.0,0.0,100.697776794434,4758.341796875,199.75,47.8494911193848,185.059112548828,57.0868225097656,8602.37109375,2371.36791992188,11400.1484375,17631.150390625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1.0,54.8125,-119.679168701172,1,7
S6084,965.0,8.54960906373533,692.359130859375,192.533192298867,63.6033401489258,0,1038.0,-295.0,2246.0,0.328473031520844,-0.405693888664246,1318.5,3.92698192596436,4.625,0.143388524651527,0.0,130.723373413086,5128.4990234375,199.5625,40.7864189147949,155.768829345703,53.9133071899414,8697.361328125,2278.01098632813,11305.158203125,17724.5078125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,3.0,54.1624984741211,-118.487503051758,4,7
S4235,1747.0,168.516722254,924.84130859375,284.516722254,72.2983551025391,100,1123.0,2322.0,1402.0,-0.401817262172699,0.900305330753326,467.0,0.455626428127289,0.1875,0.0,4.50047636032105,0.337066680192947,3423.9111328125,200.0,48.9526863098145,14.619704246521,65.5662460327149,17315.763671875,8860.3876953125,2686.75610351563,11142.130859375,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,10.4980001449585,-31.5625,-64.1875,1,1
S6061,922.0,26.5164175108955,593.220336914063,214.516696942001,61.2033157348633,0,884.0,3874.0,2619.0,-0.263716578483582,0.585990607738495,1097.0,1.72063374519348,2.875,0.0,0.0,100.169067382813,5081.91796875,200.0,36.0678749084473,129.343063354492,63.4152412414551,8818.63671875,2154.64404296875,11183.8828125,17847.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,2.0,53.3375015258789,-116.920829772949,5,7
S2186,873.0,105.483265722001,813.446838378906,224.483265722001,11.5,59,788.0,3436.0,1770.0,-0.684363842010498,0.418383598327637,37.0,0.530445039272308,-1.125,0.0,4.47345924377441,32.833423614502,6692.2626953125,200.0,31.5538711547852,19.4111709594727,61.1898803710938,6030.2431640625,6620.96923828125,13972.2763671875,13381.5498046875,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,18.5,50.8624992370606,4.96250009536743,2,5
S4395,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,10263.5146484375,6546.69384765625,9739.0048828125,13455.8251953125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,15.9910001754761,19.8208332061768,-155.329162597656,2,4
S6519,934.0,16.5167746339976,602.65283203125,206.516774633998,65.2983551025391,0,986.0,3801.0,2360.0,0.939625978469849,-0.34219628572464,1161.5,2.06214833259583,-0.875,0.0,0.0,82.9573364257813,5853.595703125,200.0,37.3474311828613,150.082870483398,54.9116744995117,8760.6611328125,2194.21801757813,11241.8583984375,17808.30078125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.0,53.8041648864746,-117.329170227051,6,7
S7287,943.0,18.4999593600014,601.349243164063,201.483502671091,44.8050117492676,0,642.0,-900.0,3294.0,0.884688973426819,0.394872277975082,1066.0,2.69072437286377,-2.0625,0.0,0.0,122.768714904785,5166.296875,200.0,45.5882263183594,170.737442016602,56.6005821228027,8609.7021484375,2387.087890625,11392.818359375,17615.431640625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,5.0,54.6708335876465,-119.995834350586,7,7
S2321,788.0,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,5875.6279296875,7040.921875,14126.8916015625,12961.5966796875,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,19.0,48.4625015258789,9.46249961853027,3,3
S7616,1021.99993896484,-1.38251976126154,1379.70458984375,187.634178896739,22.5966567993164,0,1769.0,1322.0,2437.0,0.534149944782257,0.770572900772095,2094.5,18.3628196716309,-15.4375,0.0,0.0,1.08088886737823,1275.16369628906,82.6640853881836,48.9281578063965,121.654556274414,57.464786529541,9411.7763671875,1818.3349609375,10590.7431640625,18184.18359375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,5.96799993515015,48.4625015258789,-113.345832824707,8,8
S4570,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,10263.5146484375,6546.69384765625,9739.0048828125,13455.8251953125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,11.496000289917,19.8208332061768,-155.329162597656,3,4
S4174,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,10263.5146484375,6546.69384765625,9739.0048828125,13455.8251953125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,16.9939994812012,19.8208332061768,-155.329162597656,4,4
S7562,1260.0,126.599873941692,3311.09692382813,180.566476053691,24.2983322143555,0,266.0,-809.0,5397.0,0.178679093718529,0.983178436756134,1849.0,5.4882984161377,-1.25,0.0,0.0,12.07164478302,9696.0947265625,198.757888793945,42.4642868041992,173.340545654297,52.8579063415527,10264.0771484375,6546.0380859375,9738.4423828125,13456.482421875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,3.97099995613098,19.8208332061768,-155.320831298828,5,4
S3583,1464.0,145.5,753.478332519531,305.5,93.8033599853516,100,574.0,399.0,3393.0,-0.70710688829422,-0.514494895935059,46.0,0.127502083778381,-0.125,0.0,19.4325084686279,0.291555553674698,4210.31640625,200.0,28.7741851806641,10.8050451278687,75.5180816650391,2546.45092773438,10742.400390625,17456.068359375,9260.1201171875,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,58.5449981689453,35.0041656494141,117.070831298828,4,2
S3440,788.0,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,5875.6279296875,7040.921875,14126.8916015625,12961.5966796875,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,33.4930000305176,48.4625015258789,9.46249961853027,5,3
S5428,960.0,28.5824825030893,572.436340332031,211.582761928817,59.9966812133789,0,1131.0,1369.0,1834.0,0.938447594642639,0.324243545532227,918.5,4.26942491531372,-0.3125,0.0,0.0,112.542930603027,5820.9306640625,200.0,38.4749450683594,149.130416870117,57.5864372253418,8654.5947265625,2305.48193359375,11347.9248046875,17697.037109375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,2.0,54.5125007629395,-118.762496948242,9,7
S2374,804.0,83.5666806131227,661.466003417969,216.566937319996,12.9983520507813,47,880.0,3692.0,2171.0,0.994006514549255,-0.10653193295002,299.5,8.25726318359375,-3.5,0.0,0.0,82.0350189208985,6237.53271484375,200.0,30.2431030273438,39.9774856567383,58.9877967834473,5686.45703125,6921.60888671875,14316.0615234375,13080.9111328125,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,9.0,50.970832824707,10.4041662216187,6,3
S4249,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,10263.5146484375,6546.69384765625,9739.0048828125,13455.8251953125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,11.4989995956421,19.8208332061768,-155.329162597656,6,4
S3397,1466.0,83.4664592320087,347.097564697266,295.450010162183,107.803329467773,72,1420.0,75.0,1849.0,-0.973598837852478,-0.228239268064499,470.0,1.19523477554321,-0.3125,0.0,17.438102722168,0.0,2331.783203125,200.0,46.685905456543,16.1070537567139,83.3487777709961,2379.72998046875,9875.6201171875,17622.7890625,10126.8994140625,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,42.6041679382324,119.5625,7,3
S6106,1266.0,136.550035554004,3570.7373046875,186.54975669949,23.9983329772949,0,266.0,3682.0,5493.0,0.364866554737091,0.93105810880661,1662.5,5.11083507537842,-2.75,0.0,0.0,58.2741317749024,11470.3583984375,198.435607910156,56.8148612976074,219.562637329102,48.1438026428223,10264.498046875,6544.119140625,9738.021484375,13458.4013671875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,21.9869995117188,19.8291664123535,-155.304168701172,4,4
S1746,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,10263.5146484375,6546.69384765625,9739.0048828125,13455.8251953125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,23.5990009307861,19.8208332061768,-155.329162597656,7,4
S5531,672.0,64.5,570.271484375,197.500280583665,28.4016761779785,0,1258.0,4590.0,1246.0,-0.743987917900085,6.27832946520357e-07,1.0,0.445583701133728,-0.25,0.0,0.40443480014801,70.7967987060547,6242.4638671875,139.825057983398,50.6221466064453,132.990142822266,50.9512939453125,4792.62890625,6730.423828125,15209.8896484375,13272.095703125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.99999999974133,14.1239995956421,60.2125015258789,19.6708335876465,1,10
S6198,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,10263.5146484375,6546.69384765625,9739.0048828125,13455.8251953125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1.0,19.8208332061768,-155.329162597656,8,4
S5018,1266.0,136.550035554004,3570.7373046875,186.54975669949,23.9983329772949,0,266.0,3682.0,5493.0,0.364866554737091,0.93105810880661,1662.5,5.11083507537842,-2.75,0.0,0.0,58.2741317749024,11470.3583984375,198.435607910156,56.8148612976074,219.562637329102,48.1438026428223,10264.498046875,6544.119140625,9738.021484375,13458.4013671875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,14.4969997406006,19.8291664123535,-155.304168701172,5,4
S1328,1022.00006103516,63.7671490350833,3365.73876953125,110.783581860171,28.1100025177002,0,291.0,1643.0,6444.0,0.736317276954651,0.587668597698212,3980.0,6.59482908248901,8.0,0.0,0.0,5.41653347015381,3029.17578125,117.536666870117,57.6832618713379,228.971450805664,55.4034271240234,14293.2080078125,4667.05419921875,5709.31201171875,15335.4658203125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,3.0,4.87083339691162,-75.2541656494141,6,6
S1888,921.0,66.5,1030.853515625,257.483282154,14.8999996185303,76,384.0,-542.0,2795.0,-0.316227436065674,0.707107126712799,17.5,0.134805351495743,-0.0625,0.0,2.37628841400147,0.868444442749023,4527.15087890625,200.0,29.2360038757324,72.0845489501953,59.0634002685547,9831.203125,1302.62097167969,10171.31640625,18699.8984375,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,27.0,45.720832824707,-73.3708343505859,8,7
S5855,1267.0,131.616273625113,3438.279296875,183.566476069557,24.1966648101807,0,261.0,3851.0,6205.0,0.399324119091034,0.916768729686737,1745.0,5.11938190460205,0.375,0.0,0.0,18.6503105163574,7168.3720703125,195.909118652344,49.1069450378418,194.359100341797,50.2971229553223,10263.935546875,6544.77490234375,9738.5830078125,13457.7451171875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,14.246000289917,19.8291664123535,-155.3125,7,4
S2284,1747.0,168.516722254,924.84130859375,284.516722254,72.2983551025391,100,1123.0,2322.0,1402.0,-0.401817262172699,0.900305330753326,467.0,0.455626428127289,0.1875,0.0,4.50047636032105,0.337066680192947,3423.9111328125,200.0,48.9526863098145,14.619704246521,65.5662460327149,17315.763671875,8860.3876953125,2686.75610351563,11142.130859375,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,32.1209983825684,-31.5625,-64.1875,2,1
S6870,932.0,18.6167967089223,423.395202636719,223.716297673697,45.705020904541,0,834.0,3918.0,2295.0,0.926458120346069,0.112966164946556,644.5,4.04550313949585,4.5625,0.0,0.0,116.879112243652,6558.85205078125,200.0,39.7627372741699,172.380081176758,58.6108703613281,8464.7109375,2384.03491210938,11537.8076171875,17618.484375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,3.0,56.2625007629395,-119.095832824707,2,7
S7405,950.0,30.4665276520027,532.548461914063,217.449791478004,48.9999961853027,0,646.0,1154.0,3665.0,-0.986118972301483,-0.0137710347771645,807.5,3.76091575622559,-4.5,0.0,0.0,52.4261322021484,4755.53466796875,200.0,46.5761489868164,201.474517822266,57.3732299804688,8601.9853515625,2372.40307617188,11400.5341796875,17630.115234375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1.0,54.8125,-119.695831298828,3,7
S2330,788.0,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,5875.6279296875,7040.921875,14126.8916015625,12961.5966796875,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,16.0,48.4625015258789,9.46249961853027,9,3
S3121,788.0,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,5875.6279296875,7040.921875,14126.8916015625,12961.5966796875,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,27.9979991912842,48.4625015258789,9.46249961853027,10,3
S6271,950.0,30.4665276520027,532.548461914063,217.449791478004,48.9999961853027,0,646.0,1154.0,3665.0,-0.986118972301483,-0.0137710347771645,807.5,3.76091575622559,-4.5,0.0,0.0,52.4261322021484,4755.53466796875,200.0,46.5761489868164,201.474517822266,57.3732299804688,8601.9853515625,2372.40307617188,11400.5341796875,17630.115234375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,2.0,54.8125,-119.695831298828,4,7
S3173,1365.0,176.5,1744.26416015625,326.5,46.1999740600586,100,575.0,3615.0,3060.0,0.909313082695007,0.313248932361603,40.0,1.20743715763092,-0.0625,0.0,32.0006675720215,0.5575110912323,3712.64086914063,200.0,26.8980884552002,13.1136016845703,61.018482208252,2851.19506835938,11383.2158203125,17151.32421875,8619.3037109375,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,34.9980010986328,29.2875003814697,115.720832824707,1,10
S2505,1263.0,71.4507927384226,330.397491455078,228.450792738423,90.2000274658203,62,2067.0,3999.0,1811.0,0.831031262874603,0.0294247027486563,2254.0,2.94350028038025,-9.3125,0.0,35.0467681884766,0.0,2328.32153320313,200.0,36.0401954650879,14.6160411834717,80.6413803100586,1389.18103027344,10910.962890625,18613.33984375,9091.556640625,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,49.2430000305176,36.4541664123535,102.070831298828,2,1
S4882,1267.0,131.616273625113,3438.279296875,183.566476069557,24.1966648101807,0,261.0,3851.0,6205.0,0.399324119091034,0.916768729686737,1745.0,5.11938190460205,0.375,0.0,0.0,18.6503105163574,7168.3720703125,195.909118652344,49.1069450378418,194.359100341797,50.2971229553223,10263.935546875,6544.77490234375,9738.5830078125,13457.7451171875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,19.8291664123535,-155.3125,8,4
S1756,1521.0,216.4997786596,1048.18872070313,277.4830699336,58.5,18,294.0,1876.0,5599.0,-0.0881777703762054,-0.0818091854453087,1356.5,2.66022253036499,-4.4375,0.0,0.0,47.0949325561524,10707.400390625,200.0,48.106616973877,23.1270980834961,57.3017692565918,7877.47900390625,12519.0693359375,12125.0400390625,7483.4501953125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,55.6660003662109,-2.37083339691162,30.1791667938232,2,10
S3320,1747.0,168.516722254,924.84130859375,284.516722254,72.2983551025391,100,1123.0,2322.0,1402.0,-0.401817262172699,0.900305330753326,467.0,0.455626428127289,0.1875,0.0,4.50047636032105,0.337066680192947,3423.9111328125,200.0,48.9526863098145,14.619704246521,65.5662460327149,17315.763671875,8860.3876953125,2686.75610351563,11142.130859375,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,27.2490005493164,-31.5625,-64.1875,3,1
S2674,866.0,105.483265714001,814.011535644531,224.5,11.6000003814697,55,770.0,4447.0,2237.0,-0.597441911697388,0.737664341926575,37.5,0.608972668647766,0.125,0.0,4.45633602142334,11.7157335281372,7011.7998046875,200.0,32.556079864502,23.59450340271,61.1784744262695,6027.798828125,6621.35009765625,13974.7197265625,13381.169921875,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,27.5,50.8791656494141,4.98750019073486,2,5
