sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,amf_sampling_density,Resolve_Biome,we,CV_Fold_Random,Pixel_Long,Pixel_Lat,CV_Fold_Spatial
S6800,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,3.86179976884869e-12,7,-155.329162597656,19.8208332061768,1
S2048,1145.0,102.566172042996,670.25146484375,273.532921785246,83.3950042724609,69,958.0,1534.0,2598.0,-0.319207072257996,0.27205228805542,1384.5,8.64474105834961,12.6875,0.0,0.0,0.967466652393341,4373.3505859375,200.0,25.233793258667,16.7639579772949,79.6359481811524,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.195064529776573,4,1.16129328375785e-13,3,107.412498474121,35.1208343505859,5
S1697,921.0,66.5,1030.853515625,257.483282154,14.8999996185303,76,384.0,-542.0,2795.0,-0.316227436065674,0.707107126712799,17.5,0.134805351495743,-0.0625,0.0,2.37628841400147,0.868444442749023,4527.15087890625,200.0,29.2360038757324,72.0845489501953,59.0634002685547,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.133889093995094,4,1.09245945623109e-13,4,-73.3708343505859,45.720832824707,3
S6031,880.0,107.466792333897,691.848449707031,228.466792333897,13.5016736984253,0,237.0,911.0,3907.0,-0.438867300748825,-0.89832353591919,87.0,4.71748638153076,-0.5,0.0,0.0,207.52995300293,7436.39990234375,200.0,36.7461776733398,45.1852912902832,50.1082763671875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.281932234764099,4,2.04281036531027e-14,5,2.88750004768372,49.404167175293,5
S2042,1365.0,176.5,1744.26416015625,326.5,46.1999740600586,100,575.0,3615.0,3060.0,0.909313082695007,0.313248932361603,40.0,1.20743715763092,-0.0625,0.0,32.0006675720215,0.5575110912323,3712.64086914063,200.0,26.8980884552002,13.1136016845703,61.018482208252,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201896786689758,4,1.51656465163785e-13,6,115.720832824707,29.2875003814697,3
S1778,680.0,61.5,594.0,170.483261274001,31.2000007629395,0,665.0,471.0,3171.0,0.744161784648895,0.355073511600494,12.0,0.684587001800537,-0.75,0.0,0.0,93.2545776367188,7015.01220703125,138.700164794922,59.4017181396484,143.336868286133,48.0322456359863,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.186112359166145,4,1.46327394645585e-13,7,20.279167175293,60.1291656494141,10
S3430,1747.0,168.516722254,924.84130859375,284.516722254,72.2983551025391,100,1123.0,2322.0,1402.0,-0.401817262172699,0.900305330753326,467.0,0.455626428127289,0.1875,0.0,4.50047636032105,0.337066680192947,3423.9111328125,200.0,48.9526863098145,14.619704246521,65.5662460327149,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0474255196750164,8,1.27675647831885e-13,5,-64.1875,-31.5625,4
S4754,1254.0,121.616831286007,3194.42333984375,176.583433402006,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,9.54791801177589e-14,8,-155.329162597656,19.8208332061768,1
S1007,1365.0,176.5,1744.26416015625,326.5,46.1999740600586,100,575.0,3615.0,3060.0,0.909313082695007,0.313248932361603,40.0,1.20743715763092,-0.0625,0.0,32.0006675720215,0.5575110912323,3712.64086914063,200.0,26.8980884552002,13.1136016845703,61.018482208252,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201896786689758,4,3.43503003818964e-13,8,115.720832824707,29.2875003814697,3
S3816,1468.0,80.5,354.086639404297,292.5,103.798347473145,40,1839.0,4647.0,1940.0,0.948683023452759,0.0,357.0,0.118093684315681,0.1875,0.0,0.0,0.0,2407.85131835938,200.0,53.9682960510254,15.6239557266235,83.2854995727539,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110004536807537,8,8.193445921733321e-14,6,120.712501525879,42.9375,3
