sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,CV_Fold_Random,CV_Fold_Spatial,MEM1,MEM4,MEM6,MEM7,MEM8,MEM9,MEM10,MEM11,MEM13,MEM18,MEM19,MEM20,MEM30,MEM35,MEM37,MEM45,MEM51,MEM52,MEM58,MEM81
S1402,1368,176.5,1751.86096191406,325.516723917999,46.2000007629395,90,777,4744,3068,-0.0475405976176262,-0.285124987363815,60.5,1.19112062454224,2.125,0,71.2653503417969,1.31555557250977,3687.4580078125,200,26.947774887085,16.0127983093262,60.0019950866699,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40.9990005493164,29.279167175293,115.712501525879,1,10,1.32130398280236,-0.1976506758738,0.431643542688101,-0.0780231838469403,-0.331413356353417,0.0419246040863779,-0.739434083917559,0.227590235109505,0.487033650730933,-0.426558609621036,0.0556421010455331,-0.304217920959858,-0.191468666824906,-0.449430090889068,-1.19531594677437,0.362761780922381,0.0195739605234657,-0.618792751120381,-0.594862074936812,0.199146581482455
S7385,1933.99975585938,227.566558847635,2951.05102539063,248.549880681634,17.8999996185303,0,270,1755,3805,0.744007647037506,0.668168604373932,49.5,5.98559474945068,-4,0,1.21187746524811,121.70809173584,16072.947265625,200,28.6565074920654,73.465461730957,55.0875701904297,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,20.7958335876465,-156.037506103516,2,4,-0.460946086822343,0.0501934623815282,-0.103674535946778,0.513822711254941,-0.0882437531864299,-0.716059352484291,0.224167924251621,-0.681902478641435,2.82425754445874,-5.59846767360778,1.99278179444435,-1.9072309847845,-0.158581942892657,0.328120818598412,-0.180994721397695,0.152677534982858,0.0842520558678273,-0.121728294040479,-0.0233145520956323,0.00167242590400909
S5986,675,61.5,594.0966796875,170.483237206001,31.2000007629395,0,1752,3702,1481,-0.362642049789429,-0.748229086399078,10,0.237904995679855,-0.25,0,1.37774455547333,46.1717338562012,6544.9658203125,152.653656005859,54.0183486938477,106.629920959473,51.2729873657227,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,18.496000289917,60.1375007629395,20.2708339691162,2,10,-1.12517196968694,0.679926761808971,0.754026673162942,-0.0461126556447384,-0.237712093965378,0.218415694537427,-0.0950225857732124,1.50013231389852,0.566707536221098,0.270971227901225,0.860861077932606,0.163518470730621,0.539332979209658,-0.28085678780476,0.168938330599398,0.3020001861736,-0.197060397266922,-0.319564394386781,-0.262086741639435,0.483937954625012
S1836,1267,131.616273625113,3438.279296875,183.566476069557,24.1966648101807,0,261,3851,6205,0.399324119091034,0.916768729686737,1745,5.11938190460205,0.375,0,0,18.6503105163574,7168.3720703125,195.909118652344,49.1069450378418,194.359100341797,50.2971229553223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.9899997711182,19.8291664123535,-155.3125,3,4,-0.460946114494019,0.0501934720289212,-0.103674574979031,0.513822909777843,-0.0882437962004392,-0.71605956870662,0.224168012500583,-0.681902884166096,2.82425991856958,-5.59847519701392,1.99278450848505,-1.90723417232025,-0.158581446003313,0.328121160681763,-0.180994116606293,0.152675798959256,0.0842490356291465,-0.121739451333078,-0.0233054919375567,0.00167247946129401
S1084,1542,254.516470000648,1661.12731933594,309.533182270648,58.7983093261719,100,566,-869,1739,0.396105974912643,0.464977324008942,47.5,1.09015381336212,1.25,0,69.7234649658203,63.2056884765625,8267.60546875,200,65.5713195800781,19.1919918060303,51.7577896118164,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89.4000015258789,5.01249980926514,-6.52916669845581,4,10,-0.802955677981465,-2.67567838781212,-1.62444372496413,-0.128987360963443,0.990534984392677,-0.0677508693599521,-1.02816434651566,0.959513136622211,0.604302315523739,0.385404337090803,-0.717697627269535,-0.581050533300933,0.0203838599312969,0.180324216661284,0.898366991581357,0.267917229493477,-0.131742944872881,-0.137619372340962,-0.0626223025179784,-1.70831111251702
S6561,1266,136.550035554004,3570.7373046875,186.54975669949,23.9983329772949,0,266,3682,5493,0.364866554737091,0.93105810880661,1662.5,5.11083507537842,-2.75,0,0,58.2741317749024,11470.3583984375,198.435607910156,56.8148612976074,219.562637329102,48.1438026428223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19.9750003814697,19.8291664123535,-155.304168701172,5,4,-0.464759270790067,0.0499639131998306,-0.111268950157612,0.532235398327624,-0.0939012739050077,-0.692351773033838,0.22045038782162,-0.673837355988823,2.78648595863615,-5.68351781379894,2.00006299229526,-1.96369480623108,-0.101516743578406,0.301928423869486,-0.1204272304819,0.0489260856321779,-0.0503626727079948,-0.549156095809476,0.298751056239696,0.00263887495199015
S1050,1576,221.532874117634,1785.91540527344,287.516143879634,82.4000015258789,36,1110,5280,2091,0.1380265802145,0.983295559883118,1008.5,2.7401065826416,-3.4375,0.478799521923065,0.139737501740456,13.7351112365723,8580.20703125,200,38.6065483093262,20.5638618469238,53.1368217468262,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,48.1660003662109,-14.7958335876465,-47.5541648864746,3,5,-0.58952578170374,-0.308923172929828,0.0511385579367681,2.96779561708985,-0.960901926258657,1.6162803161385,0.0182989317667595,0.109488705571183,-0.290756392036061,0.252815311298229,-0.0120193598603778,-0.212340632977519,-0.328177988678782,1.55151292106534,-0.0121233304629169,-0.0990169243882513,-0.275469173738286,-2.45173272455566,1.26544417064605,-2.8326918125172
S2685,669,64.4667791858127,594.951904296875,193.450040347814,29.0000286102295,0,617,-1691,2624,-0.806645154953003,-0.55662214756012,0,0.230269730091095,-0.3125,0,0,42.4183120727539,5979.54345703125,148.298202514648,55.295841217041,124.49634552002,50.6208648681641,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,41.9970016479492,60.3624992370606,19.7875003814697,3,10,-1.12114570386887,0.635381399733038,0.802649419624614,-0.0663683894958532,-0.324179004220244,0.241781175090894,-0.063064474603044,1.46360581677718,0.374787331450277,-0.0208330047144542,1.24912940028742,0.294656525428193,0.482415623405917,-0.0326152325920831,0.0400215642578642,0.747608625001171,0.214820846836644,-0.327947204751948,0.322125267683507,-0.437003406947103
S2394,1216,167.500363331049,1654.39282226563,305.483838048089,56.2966842651367,41,457,537,2838,0.540972232818604,0.175960198044777,236.5,3.77734804153442,-5.125,0,18.5744724273682,23.6910228729248,7117.599609375,200,29.4739284515381,20.9980621337891,62.073616027832,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.4969997406006,29.6458339691162,111.020835876465,6,10,1.33196029258246,-0.0123545437318612,-0.0340306750220677,-0.105029297613301,0.037133708187759,0.0885387483314903,0.226429523382559,0.740263690976942,0.658034325235124,0.0646683522709818,0.483120953013234,-0.560399700548197,0.00543713502705897,0.431326268125439,0.932386960517517,0.795684559888178,-0.263782358422576,0.767520668475007,0.135842472499155,-0.00438863291587983
S7531,449.000030517578,-18.4505923757612,880.466003417969,139.599376612315,38.5016746520996,0,1556,730,1543,-0.855251908302307,-0.351636677980423,694.5,5.46029376983643,10.125,0,0,0,1693.30224609375,104.362770080566,51.7114295959473,141.211776733398,49.3990669250488,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,68.0625,24.0375003814697,3,7,-1.02801215957145,0.982547696214785,0.915729371618782,0.134972829376256,-0.346510831120976,0.117958172104438,-0.0095211821041121,1.97857444255514,1.31623634644944,0.15462843808016,-2.28191222247302,-1.99564911234734,1.12276183527502,-0.895934533896233,-0.80391252612012,1.51991613949045,0.675333815756658,0.0470156404194576,-0.737142009199252,0.752746444841164
