sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,CV_Fold
S1291,1881.0,241.5,1556.340087890625,308.51644260952895,63.39665985107422,80.0,0.0,3.0,0.0,0.0,11.0,6.0,0.0,990.0,429.0,1987.0,-0.09890131652355194,0.256172239780426,8.0,0.1577492207288742,-0.125,0.0,5.618497371673584,10.22968864440918,0.0,5549.47412109375,50.0,158.0191192626953,33.524070739746094,72.3204116821289,69.4100341796875,9,3.743557041409006,25.512500762939453,-80.49583435058594,2
S1137,1475.0,179.5,472.5327453613281,322.4999710719985,53.496681213378906,63.0,5.0,0.0,0.0,0.0,10.0,0.0,22.0,498.0,1969.0,2900.0,0.9246781468391418,0.3807497024536133,74.5,0.6785938739776611,-0.4375,0.0,0.0,0.6485333442687988,0.0,8115.82763671875,3.0,200.0,36.66697692871094,15.390257835388184,75.68700408935547,12,4.913801330224532,39.26250076293945,9.529166221618652,4
G3565,727.0,57.50028062374702,717.4614868164062,213.5,31.801673889160156,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,-1577.0,2662.0,0.45518311858177185,0.0,69.5,0.2947579622268677,0.0,0.0,0.0,1.6145777702331543,0.0,4094.60302734375,50.0,200.0,46.18938446044922,39.47206115722656,68.68492889404297,4,5.386644101219859,58.32083511352539,26.554166793823242,8
G4199,714.0,61.48323504200016,792.1266479492188,217.5,28.10002899169922,65.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,610.0,1500.0,2781.0,0.0707104429602623,0.17648400366306305,18.0,0.473863422870636,0.375,0.0,0.18663164973258972,8.7391996383667,0.0,4859.01708984375,35.0,200.0,45.38600158691406,62.64918899536133,61.927581787109375,4,3.9412127879965175,58.462501525878906,24.77916717529297,9
G4945,728.0,58.483234858002106,712.8143920898438,208.46677708555504,32.70332336425781,61.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,711.0,3086.0,2832.0,0.279380738735199,-0.9385800361633301,34.0,0.5185220241546631,-0.5,0.0,2.813856840133667,24.016889572143555,0.0,4511.62158203125,50.0,200.0,52.7980842590332,63.599090576171875,60.44131851196289,4,3.610782739505633,59.4375,25.162500381469727,10
S210,1419.0,112.55104334860356,3396.57177734375,240.55104334860357,96.17488098144531,19.0,0.0,0.0,12.0,23.0,1.0,43.0,1.0,680.0,3327.0,3149.0,0.787023663520813,-0.6165128946304321,2068.5,16.495582580566406,-11.8125,0.0,0.0,134.60142517089844,0.0,8233.220703125,1.0,155.25552368164062,42.99237060546875,87.22500610351562,56.45035171508789,5,3.7375029384529994,32.537498474121094,76.05416870117188,8
CC2,730.0,58.5,699.4479370117188,215.5,32.900001525878906,89.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,517.0,2542.0,2845.0,0.9192448854446411,0.37159794569015503,47.0,0.6505571603775024,-0.3125,0.0,0.07482049614191055,40.88746643066406,0.0,5446.0244140625,42.0,200.0,51.37876510620117,100.9427490234375,60.7153205871582,4,0.0,58.420833587646484,26.620832443237305,1
S1266,1667.0,255.48319886199897,1663.4461669921875,336.48319886199897,87.39998626708984,60.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,537.0,3858.0,3358.0,-0.34674063324928284,-0.6320492625236511,420.5,2.996150016784668,-1.0,0.06520503014326096,0.0,33.167110443115234,0.0,5562.45068359375,1.0,188.9436492919922,34.421119689941406,22.43562889099121,56.46998596191406,2,5.489020385023244,20.070833206176758,100.15416717529297,8
IH.K21,732.0,58.5,725.4585571289062,215.5,26.5,0.0,0.0,0.0,0.0,67.0,0.0,33.0,0.0,506.0,-127.0,4057.0,-0.70710688829422,0.46642857789993286,88.0,0.3301120698451996,0.3125,0.0,0.0,138.71893310546875,0.0,5054.83935546875,45.0,197.921142578125,72.41954040527344,141.65890502929688,47.28883743286133,4,0.6931471805599453,57.65416717529297,26.504167556762695,2
S746,1217.0001220703125,181.71742895730577,1737.6519775390625,263.6845104426967,64.29334259033203,3.0,0.0,19.0,73.0,6.0,0.0,0.0,0.0,537.0,4671.0,2709.0,0.6467984318733215,0.7614414691925049,1228.5,9.315765380859375,-8.5,0.0,14.180747032165527,91.99573516845703,0.0,19497.052734375,1.0,193.92459106445312,41.347694396972656,53.3293342590332,51.729103088378906,1,4.535112474470904,-5.070833206176758,38.412498474121094,1
Camila33,1343.0,263.5,2471.408935546875,310.5,37.194984436035156,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,492.0,4126.0,3200.0,-0.4591364860534668,0.7913093566894531,27.0,1.5274922847747803,-0.1875,0.0,0.0,237.4625701904297,0.0,8697.859375,11.0,199.6314697265625,50.72244644165039,52.171993255615234,40.165679931640625,1,0.6931471805599453,-2.5625,-60.329166412353516,2
G4075,727.0,57.516737769999054,692.018310546875,215.51673776999905,32.400028228759766,53.0,0.0,33.0,0.0,0.0,0.0,14.0,0.0,922.0,-42.0,2712.0,0.22668693959712982,0.49654698371887207,76.0,1.5394046306610107,0.125,0.0,0.0,85.65190887451172,0.0,3378.487060546875,19.0,200.0,57.54332733154297,74.58584594726562,58.9235954284668,4,0.0,58.13750076293945,26.9375,3
G5106,1127.0,124.21715474498838,2278.4140625,189.21715474498836,70.5033187866211,0.0,0.0,15.0,68.0,0.0,0.0,0.0,16.0,379.0,3692.0,4541.0,-0.6491096019744873,-0.7602725028991699,2138.0,12.584131240844727,-1.875,0.0,0.0,171.50808715820312,0.0,17280.4453125,1.0,141.36370849609375,40.576866149902344,61.531864166259766,49.27970504760742,7,4.201613236959806,-22.362499237060547,-44.73749923706055,10
G5282,732.0,59.5,672.6067504882812,216.5,33.598350524902344,78.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0,4126.0,1697.0,-0.7071073055267334,-0.7071062326431274,41.0,0.5120888948440552,0.0,0.0,24.217544555664062,5.932799816131592,0.0,5005.51171875,50.0,200.0,53.01197814941406,50.98033142089844,63.1177864074707,4,4.297067711227921,58.27916717529297,27.045833587646484,4
G4379,737.0,58.516456865359245,721.7699584960938,215.51673748199892,26.898324966430664,25.0,0.0,16.0,0.0,17.0,0.0,41.0,0.0,986.0,4321.0,3069.0,0.22647227346897125,-0.26788729429244995,92.5,0.7267577052116394,0.75,0.0,0.0,72.73670959472656,0.0,5610.68212890625,23.0,200.0,62.01755905151367,84.82875061035156,52.963279724121094,4,2.3977134512660645,57.537498474121094,26.454166412353516,5
IH.M33,747.0,59.5332232566411,685.0498046875,216.5332232566411,32.596675872802734,16.0,0.0,9.0,0.0,20.0,0.0,55.0,0.0,383.0,-172.0,3810.0,0.5642402172088623,0.098603755235672,71.0,1.1765897274017334,1.1875,0.0,0.02153116837143898,126.89511108398438,0.0,4614.8251953125,42.0,200.0,69.84773254394531,126.39591979980469,48.464637756347656,4,0.0,57.954166412353516,27.370832443237305,6
S1144,1470.0,170.53320678519754,532.54931640625,272.5,54.905029296875,49.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,1587.0,2139.0,1245.0,0.662688136100769,0.7178128361701965,9.5,1.514620065689087,0.4375,0.0,0.35934218764305115,16.812088012695312,0.0,7145.5751953125,27.0,200.0,43.65111541748047,32.14704513549805,71.17282104492188,12,0.0,40.69583511352539,9.729166984558105,5
44MR,708.0,54.5,776.8763427734375,208.5,30.400028228759766,24.0,0.0,14.0,0.0,21.0,0.0,40.0,0.0,932.0,2533.0,1741.0,0.5744954347610474,-0.5681433081626892,156.0,1.2148988246917725,-0.125,0.0,0.0,108.24604797363281,0.0,4652.5341796875,1.0,200.0,58.49928283691406,95.01139068603516,51.76953125,4,1.3862943611198906,58.12083435058594,26.629167556762695,7
