CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,AMF_diversity,Pixel_Lat,Pixel_Long,CV_Fold
671.0,48.5,751.3972778320312,199.50027465820312,27.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,368.0,1990.0,4595.0,-0.8007667064666748,6.278329465203569e-07,40.0,0.16637808084487915,0.375,0.0,0.0,119.34364318847656,0.0,6044.2001953125,50.0,198.2295379638672,62.264129638671875,189.40542602539062,43.599510192871094,1,0,2,10,6,0.0,61.80416488647461,21.704166412353516,6
821.0,37.4832649230957,708.4807739257812,214.4996795654297,21.196685791015625,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,293.0,1903.0,6347.0,-0.9576879739761353,0.201810821890831,867.5,1.2576098442077637,0.5,0.0,0.0,146.92018127441406,0.0,4482.447265625,13.0,200.0,53.163204193115234,162.41310119628906,51.97542953491211,1,1,2,18,5,0.0,54.337501525878906,-123.27083587646484,3
803.0,82.33454895019531,854.5066528320312,221.28460693359375,29.70669937133789,34.0,8.0,6.0,0.0,0.0,23.0,29.0,0.0,728.0,3162.0,2152.0,-0.8598235845565796,-0.33065181970596313,564.0,5.827574729919434,-6.375,0.0,1.0866570472717285,53.186309814453125,0.0,7248.6640625,1.0,200.0,41.853729248046875,37.74782180786133,55.07761001586914,1,1,0,21,4,14.99899959564209,48.462501525878906,14.4375,10
926.9999389648438,100.4693603515625,1856.9473876953125,249.45254516601562,61.91170883178711,6.0,0.0,0.0,0.0,22.0,0.0,44.0,20.0,430.0,5869.0,3637.0,0.42952683568000793,0.8920507431030273,974.5,22.144535064697266,4.625,0.0,0.3573185205459595,144.58880615234375,0.0,7409.388671875,1.0,163.47824096679688,41.13554000854492,128.10787963867188,54.10666275024414,1,1,2,26,5,0.0,35.920833587646484,138.82916259765625,4
754.0,66.51673889160156,654.3230590820312,197.51673889160156,30.303348541259766,31.0,0.0,11.0,0.0,0.0,0.0,55.0,0.0,1122.0,3078.0,2034.0,0.9087763428688049,0.10256072878837585,20.0,0.6002566814422607,0.6875,0.0,0.46864089369773865,74.81973266601562,0.0,4948.0478515625,23.0,168.51773071289062,58.335479736328125,90.996826171875,56.679874420166016,2,0,2,9,4,0.0,58.670833587646484,23.22083282470703,1
3013.0,223.5,299.9949645996094,372.5,56.20332336425781,0.0,45.0,0.0,0.0,0.0,9.0,0.0,46.0,449.0,1964.0,6911.0,0.678948163986206,-0.6309041976928711,517.0,0.2230905294418335,-0.125,0.0,0.0,0.0,0.0,1119.2391357421875,1.0,196.2665557861328,73.4267349243164,4.063992500305176,71.27880859375,2,1,2,5,13,2.5,-25.27083396911621,130.9375,3
513.0,-4.48325777053833,767.7342529296875,164.50025939941406,32.0,0.0,0.0,0.0,0.0,53.0,0.0,47.0,0.0,434.0,3519.0,4875.0,0.9448914527893066,-0.32151928544044495,313.0,3.2970776557922363,-2.0,0.0,0.0,78.76373291015625,0.0006551046972163022,3781.516357421875,1.0,172.5309295654297,58.8130989074707,123.90106964111328,48.985904693603516,1,0,2,22,6,0.0,67.76249694824219,29.587499618530273,7
811.0,83.50028228759766,983.469482421875,185.5170135498047,27.19832420349121,30.0,0.0,0.0,0.0,20.0,0.0,51.0,0.0,846.0,2756.0,3004.0,0.733181357383728,0.3086794912815094,56.0,0.9670918583869934,-0.6875,0.0,0.0,89.76337432861328,0.0,7010.7998046875,16.0,182.5888671875,74.46914672851562,118.3216323852539,45.02256774902344,1,1,2,22,4,0.0,56.24583435058594,8.495833396911621,2
1300.0,178.58370971679688,1989.5390625,323.6004333496094,57.10169982910156,27.0,0.0,2.0,0.0,23.0,0.0,43.0,5.0,220.0,1835.0,5126.0,0.8810861706733704,-0.14052420854568481,211.0,8.864578247070312,-1.3125,0.0,0.0,52.60639953613281,0.0,6168.77734375,1.0,200.0,30.19355010986328,23.291282653808594,58.31625747680664,2,0,2,5,4,0.0,29.129167556762695,117.9124984741211,3
741.0,88.46678161621094,616.4619750976562,185.49972534179688,20.399999618530273,22.0,6.0,0.0,0.0,11.0,27.0,22.0,0.0,868.0,1849.0,2137.0,-0.7823003530502319,-0.610800564289093,0.0,0.2978212535381317,-0.0625,0.0,0.8326954245567322,22.086933135986328,0.0,5946.2001953125,50.0,200.0,58.83988571166992,55.987789154052734,64.29113006591797,1,1,2,22,4,5.0,54.962501525878906,12.454166412353516,4
1201.0001220703125,95.34906768798828,909.9937744140625,215.34881591796875,51.105018615722656,73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.0,2299.0,1514.0,0.262825071811676,-0.9326403737068176,1498.5,13.956795692443848,-1.625,0.0,0.0,63.785423278808594,0.0,9589.3759765625,1.0,196.85325622558594,32.57663345336914,54.15066909790039,64.50949096679688,1,0,2,10,12,0.0,37.87083435058594,14.012499809265137,2
830.0,34.550209045410156,869.3369140625,214.5669403076172,21.399999618530273,0.0,0.0,0.0,0.0,61.0,0.0,39.0,0.0,920.0,3976.0,4063.0,0.8674634099006653,-0.13643133640289307,819.5,2.771496295928955,-1.0,0.0,0.0,188.77493286132812,0.0,5165.3818359375,5.0,199.9375,50.41207504272461,175.08816528320312,49.43626403808594,1,0,2,10,5,1.0,54.34583282470703,-122.61250305175781,5
777.0,69.5,591.346435546875,202.5,27.796676635742188,0.0,0.0,7.0,0.0,31.0,0.0,62.0,0.0,326.0,602.0,4044.0,-0.6944634914398193,0.4942983388900757,15.5,0.4609259366989136,-0.375,0.0,0.22725051641464233,100.29582214355469,0.0,7962.7998046875,50.0,169.423828125,63.04242706298828,148.10958862304688,54.651039123535156,2,0,2,9,4,1.0,58.295833587646484,22.27083396911621,5
926.9999389648438,100.4693603515625,1856.9473876953125,249.45254516601562,61.91170883178711,6.0,0.0,0.0,0.0,22.0,0.0,44.0,20.0,430.0,5869.0,3637.0,0.42952683568000793,0.8920507431030273,974.5,22.144535064697266,4.625,0.0,0.3573185205459595,144.58880615234375,0.0,7409.388671875,1.0,163.47824096679688,41.13554000854492,128.10787963867188,54.10666275024414,1,1,2,26,5,0.0,35.920833587646484,138.82916259765625,6
1318.0,72.51725006103516,723.4650268554688,281.50054931640625,61.0916748046875,0.0,0.0,0.0,0.0,70.0,0.0,18.0,13.0,710.0,5081.0,4299.0,0.7943532466888428,-0.29201263189315796,1479.5,3.944176197052002,-1.8125,0.0,0.0,113.28355407714844,0.0,6253.140625,1.0,200.0,56.04671096801758,62.26218795776367,60.36325454711914,2,0,2,5,5,0.0,42.787498474121094,-121.62916564941406,7
1618.0,194.5,1291.8516845703125,340.5167236328125,15.899999618530273,0.0,0.0,17.0,0.0,43.0,0.0,40.0,0.0,515.0,2098.0,3045.0,0.26548004150390625,-0.8741840124130249,109.0,1.059929609298706,-1.375,0.0,0.0,146.72283935546875,0.0,3528.639892578125,1.0,200.0,63.694679260253906,17.938188552856445,50.96292495727539,1,0,2,10,5,0.0,31.112499237060547,-95.15416717529297,8
1710.0,198.20217895507812,1256.213623046875,244.20217895507812,54.993316650390625,45.0,0.0,0.0,42.0,0.0,0.0,11.0,2.0,890.0,1565.0,1702.0,-0.13555440306663513,0.9231908321380615,1407.5,21.009552001953125,-15.4375,0.024611791595816612,0.0,81.86168670654297,0.0,20232.65234375,3.0,145.80697631835938,44.21943664550781,29.453393936157227,54.50108337402344,1,1,1,22,1,0.0,-16.4375,-67.47083282470703,2
712.0,40.750648498535156,1391.8370361328125,168.85057067871094,17.701677322387695,18.0,0.0,0.0,0.0,67.0,0.0,15.0,0.0,914.0,-1135.0,4339.0,0.8080132007598877,0.4625978469848633,1299.5,7.5280046463012695,9.125,0.0,0.0,116.10968780517578,0.0,5993.7998046875,1.0,151.16258239746094,49.95576858520508,134.23634338378906,48.9568977355957,1,1,2,22,4,4.0,48.77916717529297,13.854166984558105,6
1635.0001220703125,232.28233337402344,1547.60400390625,275.2657775878906,49.87315368652344,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,314.0,1899.0,3686.0,-0.3973633348941803,-0.9175924062728882,615.5,27.055259704589844,6.875,0.0,0.0,249.6757354736328,0.0,14100.41015625,1.0,109.44461822509766,42.50794982910156,53.52611541748047,50.16977310180664,1,0,2,10,1,1.0,-9.445833206176758,147.34584045410156,3
787.0,98.5,922.6592407226562,215.5,14.300000190734863,16.0,0.0,12.0,0.0,15.0,0.0,57.0,0.0,623.0,2620.0,2488.0,-0.9153785109519958,-0.3991678059101105,36.0,0.8777737021446228,0.9375,0.0,1.840263843536377,220.34596252441406,0.0,7446.2001953125,30.0,200.0,87.73081970214844,108.03813171386719,44.29734420776367,1,1,2,21,4,0.0,52.24583435058594,5.629166603088379,7
1352.0,50.53402328491211,391.6158447265625,224.56748962402344,77.68153381347656,0.0,48.0,0.0,0.0,0.0,52.0,0.0,0.0,1136.0,4788.0,4624.0,0.9171997308731079,-0.243192657828331,1386.0,3.9943716526031494,-3.375,0.0,0.0,0.0,0.0,1040.3260498046875,3.0,200.0,38.57895278930664,27.8574161529541,79.43824005126953,1,1,2,22,10,0.0,44.17916488647461,84.52083587646484,1
612.0,35.48326110839844,862.9750366210938,189.48326110839844,31.900028228759766,0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,392.0,1003.0,4276.0,-0.9805808067321777,-0.19611552357673645,419.5,0.735938549041748,-0.125,0.0,0.0,69.04177856445312,0.0,5092.2001953125,24.0,200.0,58.63042068481445,204.38523864746094,45.54751205444336,1,3,2,24,6,0.0,61.02916717529297,14.045833587646484,8
724.0,59.5,699.06689453125,215.4832305908203,33.40167999267578,68.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,395.0,78.0,2560.0,0.9114407300949097,-0.12126854062080383,43.5,0.648175835609436,-0.9375,0.0,2.142005681991577,34.64586639404297,0.0,3905.675537109375,20.0,200.0,49.38490676879883,65.00174713134766,62.93633270263672,0,1,2,3,4,0.0,58.47083282470703,26.72916603088379,8
603.0000610351562,26.3497257232666,1498.6219482421875,152.31600952148438,20.903348922729492,29.0,0.0,7.0,0.0,16.0,13.0,35.0,0.0,739.0,2690.0,2643.0,-0.9986658096313477,-0.01122136227786541,1272.0,19.544445037841797,-5.9375,0.0,0.0,104.58275604248047,0.0,5394.13916015625,1.0,124.15868377685547,49.39362335205078,147.4511260986328,48.05009460449219,2,0,2,2,4,0.0,50.72083282470703,15.704166412353516,9
713.0,42.599945068359375,1351.75439453125,174.6002197265625,18.606670379638672,0.0,0.0,0.0,0.0,85.0,0.0,15.0,0.0,688.0,1955.0,5817.0,0.9176236987113953,0.3974452614784241,1177.5,4.055368423461914,1.625,0.0,0.0,143.96817016601562,0.0,6845.3232421875,1.0,139.22711181640625,47.88398361206055,161.0796356201172,44.142906188964844,1,1,2,22,4,0.0,49.045833587646484,13.620833396911621,10
914.0,101.46625518798828,1158.8306884765625,245.4662628173828,30.10331916809082,29.0,5.0,51.0,0.0,0.0,0.0,15.0,0.0,341.0,192.0,2962.0,-0.5370798110961914,-0.5983758568763733,405.5,3.93172025680542,-1.6875,0.0,0.0,78.56888580322266,0.0,7016.1376953125,1.0,200.0,35.92793655395508,36.72380828857422,58.745540618896484,1,1,1,22,5,0.0,46.329166412353516,15.204166412353516,9
1852.0,163.5,364.9300537109375,305.5,19.796634674072266,0.0,0.0,0.0,0.0,0.0,24.0,0.0,76.0,297.0,-491.0,5878.0,0.7822995185852051,0.07071098685264587,84.0,0.32046443223953247,-0.3125,0.0,0.0,63.57475662231445,0.0,4790.072265625,50.0,200.0,64.81690979003906,17.593482971191406,72.0690689086914,1,1,2,20,8,0.0,-35.34583282470703,144.5208282470703,3
514.0,-3.5002806186676025,749.8070068359375,165.5,32.0,0.0,0.0,0.0,0.0,49.0,0.0,45.0,3.0,660.0,1207.0,3149.0,-0.8845242261886597,-0.31622791290283203,277.0,0.7512770295143127,-0.375,0.0,0.0,72.1596450805664,0.007977181114256382,3864.45361328125,1.0,171.55136108398438,61.96725082397461,111.96702575683594,47.93944549560547,1,0,2,22,6,0.0,67.77083587646484,29.579166412353516,9
