sample_id,latitude,longitude,myco_diversity,est_s_e,x95_percent_lower,x95_percent_upper,raw_obs_div,sample_type,sequencing_platform,target_marker,primers,top,bot,core_length,seq_depth
S001518,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1240
S001519,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,912
S001520,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1237
S001521,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1051
S001522,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,910
S001523,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,942
S001524,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1237
S001526,43.08333,124.33333,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,3468
S001527,43.33333,124.46667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,3373
S001529,43.6166667,125.5666667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,1254
S001531,44.51667,125.75,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,1241
S001532,44.88333,126.23333,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,389
S001533,45.1,126.18333,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,1320
S001534,45.38333,126.36667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,1936
S001536,46.1,127.03333,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,638
S001538,46.68333,126.96667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,749
S001539,47.21667,127.11667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,1548
S001540,47.45,126.91667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,1084
S001541,47.58333,126.11667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,1392
S001543,48.15,126.71667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,2270
S001544,48.46667,126.25,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,3192
S001545,48.86667,126.13333,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,2151
S001546,48.68333,124.98333,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,3850
S001547,48.38333,124.91667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,2431
S001550,49.11667,125.21667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1/ITS4,0,20,20,4204
S001601,60.58231,14.63903,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6863
S001603,60.43444,17.63694,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5965
S001605,60.39944,17.49111,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5695
S001607,59.94278,17.32472,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,4988
S001610,59.88806,17.35306,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5124
S001612,60.46778,18.00222,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6681
S001615,60.31286,13.97719,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6269
S001617,60.31347,13.9728,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,4394
S001618,60.8855,15.67397,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6677
S001620,59.66508,15.36564,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5579
S001623,60.81667,16.5,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,8234
S001624,59.27222,14.84222,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,7847
S001626,59.27222,14.84222,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,4874
S001628,60.12889,14.53361,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,7818
S001631,60.51231,14.89461,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5140
S001633,59.218,14.56794,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6681
S001635,60.70936,14.40828,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,9441
S001637,59.68361,14.84361,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6935
S001639,59.34917,15.30794,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,9012
S001641,59.52964,14.53917,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,1683
S001643,59.42367,14.77806,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5408
S001645,59.62483,15.20308,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6175
S001647,60.48444,17.54556,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5732
S001649,59.96778,17.30444,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,5304
S001652,59.69556,14.87139,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,3779
S001654,59.34358,14.75661,0,0,0,0,0,soil,454Roche,ITS2,gITS7/ITS4 and ITS9/ITS4,,,,6185
S001658,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,179
S001659,58.55,23.31667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,155
S001660,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,371
S001661,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,1582
S001662,58.55,23.31667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,30
S001663,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,363
S001664,58.55,23.31667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,26
S001665,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,351
S001666,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,1015
S001667,58.55,23.31667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,11
S001668,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,406
S001669,58.55,23.31667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,120
S001670,58.55,23.31667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,172
S001671,58.555214,23.551006,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,8
S001672,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,296
S001673,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,821
