sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,source,CV_Fold
GF4T433otu,1831.0,269.49972043959934,511.6435241699219,342.5,87.59829711914062,22.0,25.0,0.0,0.0,0.0,0.0,25.0,28.0,1405.0,4220.0,2912.0,-0.3257964849472046,-0.21932539343833923,323.5,0.7736068964004517,-1.0625,0.0,0.0,3.6199111938476562,0.0,2518.629638671875,25.0,200.0,61.56627655029297,7.651723384857178,67.20417022705078,2,4,1,25,2,3.332133050167862,-8.679166793823242,-38.8125,GlobalFungi,2
FMS23037v2,1618.0,194.5,1291.8516845703125,340.5167247979998,15.899999618530273,0.0,0.0,17.0,0.0,43.0,0.0,40.0,0.0,515.0,2098.0,3045.0,0.26548004150390625,-0.8741840124130249,109.0,1.059929609298706,-1.375,0.0,0.0,146.72283935546875,0.0,3528.639892578125,1.0,200.0,63.694679260253906,17.938188552856445,50.96292495727539,1,0,1,12,5,1.5040773967762742,31.112499237060547,-95.15416717529297,GlobalFungi,8
S000519,527.0,8.500019203998818,981.0691528320312,148.49973865767083,31.501676559448242,0.0,40.0,0.0,0.0,28.0,28.0,4.0,0.0,277.0,160.0,4155.0,-0.9769988059997559,0.21257829666137695,813.0,1.159382700920105,0.25,0.0,0.0,16.874666213989258,0.03208297863602638,2899.838623046875,1.0,200.0,52.472938537597656,136.15834045410156,49.46501159667969,1,0,1,12,11,0.0,62.61249923706055,12.620833396911621,GlobalFungi,10
FMS24122v2,1068.0,42.48442725076362,1033.0733642578125,241.5011572007626,96.60499572753906,0.0,0.0,42.0,0.0,13.0,0.0,46.0,0.0,387.0,384.0,3209.0,0.8244858384132385,-0.3197978734970093,718.5,12.191560745239258,-10.5625,0.0,0.0,66.70222473144531,0.0,3330.95849609375,1.0,185.65916442871094,38.1727294921875,87.98092651367188,55.75350570678711,1,2,1,12,4,1.252762968495368,41.84583282470703,124.90416717529297,GlobalFungi,10
GF3S02180a,984.9999389648438,87.48323835485691,1136.3167724609375,227.4667935256812,76.79832458496094,19.0,0.0,19.0,0.0,14.0,0.0,48.0,0.0,405.0,1345.0,3719.0,0.04721677675843239,-0.7509908080101013,1650.0,18.6583251953125,7.5625,0.0,0.0,59.07786560058594,0.0,4017.797607421875,0.0,191.80706787109375,38.538047790527344,65.22135925292969,61.89714050292969,1,2,1,29,4,0.6931471805599453,33.42916488647461,108.4375,GlobalFungi,1
GF3S06722a,969.0,78.5011036601562,2210.27880859375,237.46784209488018,79.99496459960938,0.0,0.0,85.0,0.0,0.0,0.0,15.0,0.0,373.0,3931.0,3258.0,-0.24716061353683472,0.44593262672424316,811.5,5.761434555053711,-11.125,0.0,0.0,86.53617858886719,0.0,7886.119140625,1.0,196.81610107421875,47.39745330810547,118.09100341796875,53.1164665222168,1,2,0,12,4,3.586985146432596,38.02916717529297,128.46249389648438,GlobalFungi,2
FMS16BI2068v2,1586.0,150.43228758052553,596.247802734375,206.4826190945232,54.80665969848633,48.0,0.0,5.0,15.0,0.0,11.0,22.0,0.0,1200.0,5398.0,2116.0,-0.39712369441986084,-0.8651789426803589,114.0,8.93873405456543,4.5625,0.0,0.0,70.59911346435547,0.0,6019.74462890625,1.0,147.1434326171875,67.69503021240234,42.89762878417969,59.269371032714844,2,2,1,5,12,2.6390573296152584,-35.65416717529297,138.16250610351562,GlobalFungi,2
FMS10572v2,1764.0,247.5167187019997,2261.46630859375,292.5167209219999,36.39164352416992,10.0,0.0,0.0,59.0,0.0,0.0,31.0,0.0,201.0,2820.0,5107.0,0.9324029684066772,0.0841938853263855,260.0,2.4953532218933105,-1.1875,0.0,1.1567789316177368,151.88604736328125,0.0,13912.8408203125,8.0,197.29678344726562,28.376413345336914,88.01188659667969,54.70978546142578,1,3,1,32,1,1.3862943611198906,18.412500381469727,-66.9625015258789,GlobalFungi,9
N1909,1974.0,172.51654216251345,369.61859130859375,318.5,13.598331451416016,69.0,0.0,3.0,11.0,0.0,0.0,0.0,17.0,1422.0,5022.0,2607.0,-0.9707330465316772,-0.2171935737133026,120.5,0.7819680571556091,0.0,0.0,0.0,33.88302230834961,0.0,2749.022216796875,50.0,200.0,63.22245407104492,10.778454780578613,68.1832046508789,1,2,1,27,12,3.2188758248682006,-33.99583435058594,145.69583129882812,GlobalFungi,3
S000833,1133.000244140625,132.8689923333889,3345.6552734375,177.8689923333889,37.90335464477539,38.0,0.0,0.0,59.0,0.0,0.0,0.0,3.0,475.0,1767.0,3359.0,0.46112191677093506,0.8590695858001709,2468.0,20.62176513671875,10.8125,0.09420572221279144,0.0,215.5770721435547,0.0,15741.62890625,1.0,129.0382537841797,39.322269439697266,131.8774871826172,53.57772445678711,1,0,1,12,1,0.0,-6.054166793823242,145.2375030517578,GlobalFungi,10
GF4S20239b,717.0,52.53322422414976,726.87646484375,198.53322422414976,35.09832000732422,8.0,0.0,12.0,0.0,28.0,0.0,13.0,0.0,1098.0,5509.0,1965.0,0.9788784980773926,0.03358463570475578,25.5,1.0157198905944824,1.0,0.0,0.0,113.79377746582031,0.0,3994.94580078125,1.0,198.709716796875,55.22392654418945,112.392822265625,53.13513946533203,2,4,1,25,4,0.0,59.412498474121094,27.962499618530273,GlobalFungi,3
