Mean_R2_Random,Mean_R2_Spatial,Mean_MAE_Random,StDev_R2_Spatial,Mean_MAE_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Random,StDev_MAE_Spatial,Mean_RMSE_Random,cName,StDev_R2_Random,StDev_MAE_Random,StDev_RMSE_Spatial
0.608234251,0.114858124,0.664345371,0.126946773,1.072264083,1.309283338,0.024827588349580765,0.141955386,0.895649874,ectomycorrhizal_richness_rf_VPS12_LP10_REGRESSION,0.016384959,0.018862692639231682,0.135662452
0.60709631,0.112181089,0.665190244,0.131784558,1.075121602,1.311491374,0.024583579,0.149869952,0.896957775,ectomycorrhizal_richness_rf_VPS8_LP8_REGRESSION,0.016096334904432297,0.018959272652864456,0.143629712
0.604604781,0.114923773,0.667882945,0.137502251,1.07167332,1.308409902,0.02461826801300049,0.146966829,0.899808038,ectomycorrhizal_richness_rf_VPS10_LP10_REGRESSION,0.015943223610520363,0.018936198204755783,0.138397868
0.603268464,0.072534072,0.663107569,0.119070841,1.110808013,1.341523638,0.025512081,0.144150445,0.901303757,ectomycorrhizal_richness_rf_VPS2_LP2_REGRESSION,0.01709005981683731,0.01879362389445305,0.141257219
0.602661218,0.110128349,0.670759857,0.139022815,1.076736228,1.311907533,0.024279409,0.149055024,0.902011412,ectomycorrhizal_richness_rf_VPS12_LP12_REGRESSION,0.015913495793938637,0.018252791836857796,0.140959915
0.601304857,0.101456953,0.670693779,0.127499653,1.083469698,1.319101493,0.024589957,0.141736428,0.903539861,ectomycorrhizal_richness_rf_VPS6_LP8_REGRESSION,0.016347776,0.019260277,0.134056217
0.600696494,0.084986331,0.670466655,0.128139075,1.099596004,1.332822682,0.02484980598092079,0.161335978,0.904237592,ectomycorrhizal_richness_rf_VPS4_LP6_REGRESSION,0.016348237171769142,0.019053566,0.152610173
0.600568083,0.105230306,0.672004045,0.13425502181053162,1.081123774,1.31624956,0.024461216,0.148990686,0.904387216,ectomycorrhizal_richness_rf_VPS8_LP10_REGRESSION,0.01599828340113163,0.018323631,0.140714182
0.599117614,0.112039931,0.673887835,0.133829952,1.076132825,1.311153782,0.024782929,0.148984578,0.906018142,ectomycorrhizal_richness_rf_VPS10_LP12_REGRESSION,0.016424668952822685,0.01866447739303112,0.141526667
0.594733143,0.102016382,0.677777953,0.135462059,1.087471714,1.319324622,0.024634748,0.155481737,0.910963598,ectomycorrhizal_richness_rf_VPS6_LP10_REGRESSION,0.016359218,0.018547872081398964,0.149718749
0.594415592,0.105697312,0.678314305,0.132412176,1.08189055,1.316035879,0.024030666,0.149595729,0.911331699,ectomycorrhizal_richness_rf_VPS8_LP12_REGRESSION,0.01574018970131874,0.0185887161642313,0.141308322
0.593694804,0.072783195,0.677097302,0.108783292,1.112257449,1.342747351,0.022952867,0.148293704,0.912154901,ectomycorrhizal_richness_rf_VPS2_LP4_REGRESSION,0.014802186749875546,0.017568105831742287,0.145262203
0.591847396,0.08108989894390106,0.679919942,0.126731173,1.105889292,1.335785461,0.024056333,0.159593818,0.914210545,ectomycorrhizal_richness_rf_VPS4_LP8_REGRESSION,0.015874273,0.018665408715605736,0.151109196
0.587172513,0.096198543,0.685665837,0.1313287615776062,1.089995744,1.323781689,0.024307416,0.153597454,0.919433812,ectomycorrhizal_richness_rf_VPS6_LP12_REGRESSION,0.016048522666096687,0.018630589,0.14661811292171478
0.583581538,0.08321134001016617,0.688756095,0.128259689,1.103916853,1.333756463,0.023295383,0.156655215,0.923437015,ectomycorrhizal_richness_rf_VPS4_LP10_REGRESSION,0.015196201391518116,0.018234803,0.148327602
0.578704413,0.06751258671283722,0.692980518,0.113848132,1.117545347,1.347196077,0.023262055,0.161905818,0.928844084,ectomycorrhizal_richness_rf_VPS2_LP6_REGRESSION,0.014903043396770954,0.018100474029779434,0.154719672
0.575136182,0.092889695,0.697024154,0.121935605,1.094254542,1.326370673,0.023838242,0.147864878,0.932758185,ectomycorrhizal_richness_rf_VPS4_LP12_REGRESSION,0.015594546683132648,0.018033631145954132,0.139543923
0.565151423,0.062075582,0.707119762,0.11829017847776413,1.122036414,1.349536382,0.022115169,0.150003305,0.94365744,ectomycorrhizal_richness_rf_VPS2_LP8_REGRESSION,0.01461391244083643,0.017302684485912323,0.143173641
0.552361232,0.06166091561317444,0.720004718,0.112516924,1.12243323,1.350216319,0.021850476041436195,0.14654585,0.957472624,ectomycorrhizal_richness_rf_VPS2_LP10_REGRESSION,0.013537878170609474,0.017590155,0.140979699
0.541451317,0.05372965335845947,0.730642824,0.110372668,1.12936669,1.356613765,0.021915093064308167,0.154195601,0.969064977,ectomycorrhizal_richness_rf_VPS2_LP12_REGRESSION,0.013905728235840797,0.017171743,0.147085202
