,lower,mean,upper,latitude
0,0.056872036308050156,0.21637493626766405,0.5165876746177673,-28.0
0,0.056872036308050156,0.23009967120105732,0.5450236797332764,-27.0
0,0.05213269963860512,0.24433012119148734,0.5971564054489136,-26.0
0,0.04265403002500534,0.2578131106016015,0.6682464480400085,-25.0
0,0.033175356686115265,0.27402297205360965,0.7109004855155945,-24.0
0,0.028436018154025078,0.2834452492520355,0.7203791737556458,-23.0
0,0.014218009077012539,0.2919595821633495,0.7061611413955688,-22.0
0,0.01895734667778015,0.3164268541022924,0.7014217972755432,-21.0
0,0.01895734667778015,0.33944884894637695,0.6919431090354919,-20.0
0,0.014218009077012539,0.3519819818117848,0.6729857921600342,-19.0
0,0.014218009077012539,0.36785975966655166,0.6682464480400085,-18.0
0,0.01895734667778015,0.3967369470442359,0.6966824531555176,-17.0
0,0.0379146933555603,0.430283182326221,0.7345971465110779,-16.0
0,0.033175356686115265,0.4605370051256088,0.758293867111206,-15.0
0,0.0379146933555603,0.492736972095408,0.8246445655822754,-14.0
0,0.04265403002500534,0.5191132525094126,0.8957346081733704,-13.0
0,0.02369668334722519,0.531180419700451,0.9099525809288025,-12.0
0,0.02369668334722519,0.5289224040455669,0.9052132964134216,-11.0
0,0.01895734667778015,0.5060456811517995,0.8957346081733704,-10.0
0,0.014218009077012539,0.4973003248270422,0.8957346081733704,-9.0
0,0.01895734667778015,0.5125039843897722,0.8957346081733704,-8.0
0,0.01895734667778015,0.520957471631308,0.8957346081733704,-7.0
0,0.01895734667778015,0.5351567749928141,0.8862559199333191,-6.0
0,0.028436018154025078,0.5433153012619875,0.8767772316932678,-5.0
0,0.028436018154025078,0.5494474801325873,0.8672986030578613,-4.0
0,0.014218009077012539,0.5571039194687022,0.8625592589378357,-3.0
0,0.009478673338890076,0.5666106034598479,0.8625592589378357,-2.0
0,0.011506735065977382,0.5833020993079778,0.8483412265777588,-1.0
0,0.011465274597539153,0.6057106359689733,0.841087582525513,0.0
0,0.033175356686115265,0.6263059297526854,0.8578199148178101,1.0
0,0.033175356686115265,0.6302564958705575,0.8720378875732422,2.0
0,0.10426539927721024,0.6140130221499012,0.8862559199333191,3.0
0,0.009478673338890076,0.5698738422618325,0.8957346081733704,4.0
0,0.004739336669445038,0.5248085981070909,0.8862559199333191,5.0
0,0.01895734667778015,0.4944276830203194,0.8388625383377075,6.0
0,0.09004739671945572,0.47930595281952426,0.8104265332221985,7.0
0,0.033175356686115265,0.4537182661671956,0.7819905281066895,8.0
0,0.009478673338890076,0.41114694230945037,0.7725118398666382,9.0
0,0.009478673338890076,0.36332221620418415,0.7440758347511292,10.0
0,0.009478673338890076,0.3252018019704606,0.5876777172088623,11.0
0,0.01895734667778015,0.3043541750809444,0.5687204003334045,12.0
0,0.04739336669445038,0.28807473404105743,0.5876777172088623,13.0
0,0.04739336669445038,0.2693366377739269,0.6066350936889648,14.0
0,0.01895734667778015,0.24724397262726397,0.620853066444397,15.0
0,0.04265403002500534,0.22874631844408752,0.6255924105644226,16.0
0,0.05213269963860512,0.21177156748914722,0.6398104429244995,17.0
0,0.04739336669445038,0.19992625377590986,0.6635071039199829,18.0
0,0.02369668334722519,0.192076927586278,0.6587677597999573,19.0
0,0.014218009077012539,0.1865406016532597,0.6398104429244995,20.0
0,0.02369668334722519,0.18859033692554952,0.620853066444397,21.0
